7060,Laureate Court Apartment Building 746 Nobel Drive,Laureate Court Apartment Building 746 Nobel Drive,Laureate Court Apartment Building 746 Nobel Drive,L CT APT 746,7060,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,746 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,746 NOBEL DRIVE,5245,44,3,6,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7061,Laureate Court Apartment Building 750 Nobel Drive,Laureate Court Apartment Building 750 Nobel Drive,Laureate Court Apartment Building 750 Nobel Drive,L CT APT 750,7061,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,750 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,750 NOBEL DRIVE,5245,44,3,8,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7062,Laureate Court Apartment Building 752 Nobel Drive,Laureate Court Apartment Building 752 Nobel Drive,Laureate Court Apartment Building 752 Nobel Drive,L CT APT 752,7062,Off-campus Santa Cruz,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,752 Nobel Drive,Santa Cruz,Santa Cruz,CA,95060,752 NOBEL DRIVE,5245,44,3,6,01/01/1991,05/01/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7064,South Campus Core Building,South Campus Core Building,South Campus Core Building,SOUTH CORE,7064,Main Entrance Area,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,108 Carriage House Road,Santa Cruz,Santa Cruz,CA,95064,108 CARRIAGE HOUSE ROAD,5245,44,1,7,12/15/2014,12/15/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7067,Cooling Tower 4 EMS,Cooling Tower 4 EMS,Cooling Tower 4 EMS,COOLING TWR4,7067,Science and Engineering Hill,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,551 Red Hill Road,Santa Cruz,Santa Cruz,CA,95064,551 RED HILL ROAD,5245,44,2,4,02/14/2012,10/11/2012,,,,"CT-4. Built in 2010 - 2012 in support of Science Hill and Biomed as part of the Infrastructure Improvements Phase 1 project. 2,800 ton capacity.  Located east of EMS by loading dock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7068,Metal Storage Shed-Sprint,Metal Storage Shed-Sprint,Metal Storage Shed-Sprint,SPRINT STOR,7068,Crown-Merrill Neighborhood,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,724 Fuel Break Road,Santa Cruz,Santa Cruz,CA,95064,724 FUEL BREAK ROAD,5245,44,1,1,01/01/1993,01/01/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7069,Metal Storage Shed-Verizon,Metal Storage Shed-Verizon,Metal Storage Shed-Verizon,VERIZON STOR,7069,Crown-Merrill Neighborhood,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,726 Fuel Break Road,Santa Cruz,Santa Cruz,CA,95064,726 FUEL BREAK ROAD,5245,44,1,1,01/01/1993,01/01/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7070,Cooling Tower 2,Cooling Tower 2,Cooling Tower 2,COOLING TWR2,7070,Science and Engineering Hill,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,612 Red Hill Road,Santa Cruz,Santa Cruz,CA,95064,612 RED HILL ROAD,5245,44,1,0,04/01/1987,04/01/1987,,,,CT-2 built in 1987 to support Sinsheimer Labs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7071,Cooling Tower 3,Cooling Tower 3,Cooling Tower 3,COOLING TWR3,7071,Science and Engineering Hill,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,612 Red Hill Road,Santa Cruz,Santa Cruz,CA,95064,612 RED HILL ROAD,5245,44,1,0,01/01/1992,01/01/1992,,,,CT-3 built in 1992 to support Earth & Marine Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7072,Cooling Tower 5,Cooling Tower 5,Cooling Tower 5,COOLING TWR5,7072,Science and Engineering Hill,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,612 Red Hill Road,Santa Cruz,Santa Cruz,CA,95064,612 RED HILL ROAD,5245,44,1,0,02/02/1984,02/02/1984,,,,CT-5 built in 1984 to support the Cogen Plant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7084,Long Marine Lab Caretaker Trailer B,Long Marine Lab Caretaker Trailer B,Long Marine Lab Caretaker Trailer B,LML CARETR B,7084,Off-campus Coastal Science Campus,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,105 McAllister Way,Santa Cruz,Santa Cruz,CA,95060,105 MCALLISTER WAY,5245,44,1,1,01/01/2003,08/01/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7086,MBEST Headquarters Center Service Building,MBEST Headquarters Center Service Building,MBEST Headquarters Center Service Building,MBEST HQ SRV,7086,Off-campus MBEST Center,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,3239 Imjin Road,Marina,Monterey,CA,93933,3239 IMJIN ROAD,3475,27,1,1,01/01/2001,06/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7087,MBEST Headquarters Center Building B,MBEST Headquarters Center Building B,MBEST Headquarters Center Building B,MBEST HQ B,7087,Off-campus MBEST Center,07 - Santa Cruz,C - Central Campus,G - General,OFF - Office,3239 Imjin Road,Marina,Monterey,CA,93933,3239 IMJIN ROAD,3475,27,1,1,01/01/2001,06/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7088,MBEST Headquarters Center Building C,MBEST Headquarters Center Building C,MBEST Headquarters Center Building C,MBEST HQ C,7088,Off-campus MBEST Center,07 - Santa Cruz,C - Central Campus,G - General,SPC - Special Use,3239 Imjin Road,Marina,Monterey,CA,93933,3239 IMJIN ROAD,3475,27,1,5,01/01/2001,06/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089,MBEST Headquarters Center Building D,MBEST Headquarters Center Building D,MBEST Headquarters Center Building D,MBEST HQ D,7089,Off-campus MBEST Center,07 - Santa Cruz,C - Central Campus,G - General,SPC - Special Use,3239 Imjin Road,Marina,Monterey,CA,93933,3239 IMJIN ROAD,3475,27,1,5,01/01/2001,06/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7090,MBEST Headquarters Center Conference,MBEST Headquarters Center Conference,MBEST Headquarters Center Conference,MBEST HQ CNF,7090,Off-campus MBEST Center,07 - Santa Cruz,C - Central Campus,G - General,OFF - Office,3239 Imjin Road,Marina,Monterey,CA,93933,3239 IMJIN ROAD,3475,27,1,2,01/01/2001,06/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7091,MBEST Headquarters Center Building A,MBEST Headquarters Center Building A,MBEST Headquarters Center Building A,MBEST HQ A,7091,Off-campus MBEST Center,07 - Santa Cruz,C - Central Campus,G - General,OFF - Office,3239 Imjin Road,Marina,Monterey,CA,93933,3239 IMJIN ROAD,3475,27,1,3,01/01/2001,06/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7096,Emergency Response Center,Emergency Response Center,ERC,EMER RES CEN,7096,Main Entrance Area,07 - Santa Cruz,C - Central Campus,G - General,SPC - Special Use,114 Carriage House Road,Santa Cruz,Santa Cruz,CA,95064,114 CARRIAGE HOUSE ROAD,5245,44,2,67,04/03/2007,04/03/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7097,Emergency Response Storage,Emergency Response Storage,ERS,EMER RES STO,7097,Arboretum Neighborhood,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,1456 High Street,Santa Cruz,Santa Cruz,CA,95064,1456 HIGH STREET,5245,44,1,1,04/03/2007,04/03/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7098,Interdisciplinary Sciences Building,Interdisciplinary Sciences Building,ISB,INTERDIS SCI,7098,Science and Engineering Hill,07 - Santa Cruz,C - Central Campus,G - General,OFF - Office,550 Red Hill Road,Santa Cruz,Santa Cruz,CA,95064,550 RED HILL ROAD,5245,44,5,251,01/01/2002,01/01/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7103,Stone House,Stone House,Stone House,STONE HOUSE,7103,Main Entrance Area,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,100 Coolidge Drive,Santa Cruz,Santa Cruz,CA,95064,100 COOLIDGE DRIVE,5245,44,1,6,01/01/1845,01/01/1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7104,Granary,Granary,Granary,GRANARY,7104,Main Entrance Area,07 - Santa Cruz,C - Central Campus,R - Residential,GEN - General Use,102 Coolidge Drive,Santa Cruz,Santa Cruz,CA,95064,102 COOLIDGE DRIVE,5245,44,1,10,01/01/1845,01/01/1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
